manufactory;product_name;segment;category;subcategory;Product ID;Product Available (Inventory)
Message Book;"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book";Consumer;Office Supplies;Paper;0;196
GBC;GBC Standard Plastic Binding Systems Combs;Home Office;Office Supplies;Binders;1;2
Avery;Avery 508;Home Office;Office Supplies;Labels;2;204
SAFCO;SAFCO Boltless Steel Shelving;Home Office;Office Supplies;Storage;3;476
Avery;Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack;Consumer;Office Supplies;Art;4;129
Dixon;Dixon Prang Watercolor Pencils, 10-Color Set with Brush;Corporate;Office Supplies;Art;5;361
Xerox;Xerox 225;Consumer;Office Supplies;Paper;6;237
Global;Global Deluxe High-Back Manager's Chair;Home Office;Furniture;Chairs;7;468
Rogers;Rogers Handheld Barrel Pencil Sharpener;Home Office;Office Supplies;Art;8;444
Ibico;Ibico Hi-Tech Manual Binding System;Home Office;Office Supplies;Binders;9;465
Alliance;Alliance Super-Size Bands, Assorted Sizes;Home Office;Office Supplies;Fasteners;10;39
Southworth;Southworth 25% Cotton Granite Paper & Envelopes;Home Office;Office Supplies;Paper;11;350
Other;Wireless Extenders zBoost YX545 SOHO Signal Booster;Home Office;Technology;Phones;12;418
GE;GE 30524EE4;Home Office;Technology;Phones;13;467
Howard Miller;"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock";Consumer;Furniture;Furnishings;14;381
Acco;"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""";Consumer;Office Supplies;Binders;15;463
Newell;Newell 312;Consumer;Office Supplies;Art;16;406
Memorex;Memorex Micro Travel Drive 8 GB;Consumer;Technology;Accessories;17;458
Howard Miller;"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock";Corporate;Furniture;Furnishings;18;499
Avery;Avery 482;Corporate;Office Supplies;Labels;19;497
DAX;DAX Value U-Channel Document Frames, Easel Back;Consumer;Furniture;Furnishings;20;236
Global;Global Highback Leather Tilter in Burgundy;Consumer;Furniture;Chairs;21;77
Avery;Avery Metallic Poly Binders;Consumer;Office Supplies;Binders;22;219
Xerox;Xerox 1923;Consumer;Office Supplies;Paper;23;497
O'Sullivan;O'Sullivan Elevations Bookcase, Cherry Finish;Consumer;Furniture;Bookcases;24;204
Other;4009 Highlighters by Sanford;Consumer;Office Supplies;Art;25;238
Tennsco;Tennsco 6- and 18-Compartment Lockers;Consumer;Office Supplies;Storage;26;385
3-ring staple pack;3-ring staple pack;Corporate;Office Supplies;Binders;27;19
Other;Brown Kraft Recycled Envelopes;Corporate;Office Supplies;Envelopes;28;260
Staple envelope;Staple envelope;Corporate;Office Supplies;Envelopes;29;308
Fellowes;Fellowes Stor/Drawer Steel Plus Storage Drawers;Corporate;Office Supplies;Storage;30;167
Plantronics;Plantronics S12 Corded Telephone Headset System;Corporate;Technology;Accessories;31;189
Sauder;Sauder Cornerstone Collection Library;Corporate;Furniture;Bookcases;32;193
Logitech;Logitech 910-002974 M325 Wireless Mouse for Web Scrolling;Consumer;Technology;Accessories;33;10
DAX;DAX Black Cherry Wood-Tone Poster Frame;Consumer;Furniture;Furnishings;34;24
GBC;GBC Linen Binding Covers;Consumer;Office Supplies;Binders;35;231
Other;Round Specialty Laser Printer Labels;Consumer;Office Supplies;Labels;36;20
AT&T;AT&T 841000 Phone;Consumer;Technology;Phones;37;303
Fellowes;Fellowes Mighty 8 Compact Surge Protector;Corporate;Office Supplies;Appliances;38;251
O'Sullivan;O'Sullivan 4-Shelf Bookcase in Odessa Pine;Consumer;Furniture;Bookcases;39;222
GBC;GBC Standard Recycled Report Covers, Clear Plastic Sheets;Consumer;Office Supplies;Binders;40;396
Tyvek;Tyvek  Top-Opening Peel & Seel Envelopes, Plain White;Consumer;Office Supplies;Envelopes;41;71
TOPS;TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page;Consumer;Office Supplies;Paper;42;349
Hon;Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms;Consumer;Furniture;Chairs;43;180
Eldon;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;Consumer;Furniture;Furnishings;44;15
Newell;Newell 351;Consumer;Office Supplies;Art;45;403
Newell;Newell 327;Consumer;Office Supplies;Art;46;36
Staple envelope;Staple envelope;Consumer;Office Supplies;Envelopes;29;484
Apple;Apple iPhone 5C;Consumer;Technology;Phones;47;164
GBC;GBC DocuBind TL200 Manual Binding Machine;Corporate;Office Supplies;Binders;48;399
Eldon;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;Consumer;Furniture;Furnishings;44;280
Wirebound;"Wirebound Service Call Books, 5 1/2"" x 4""";Consumer;Office Supplies;Paper;49;499
Ultra;Ultra Door Push Plate;Consumer;Furniture;Furnishings;50;364
Eldon;Eldon ClusterMat Chair Mat with Cordless Antistatic Protection;Consumer;Furniture;Furnishings;51;474
Holmes;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;Consumer;Office Supplies;Appliances;52;442
Panasonic;Panasonic KP-4ABK Battery-Operated Pencil Sharpener;Consumer;Office Supplies;Art;53;163
Acco;"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red";Consumer;Office Supplies;Binders;54;139
Storex;Storex Dura Pro Binders;Consumer;Office Supplies;Binders;55;498
Eldon;Eldon Fold 'N Roll Cart System;Consumer;Office Supplies;Storage;56;25
Fellowes;Fellowes Bases and Tops For Staxonsteel/High-Stak Systems;Consumer;Office Supplies;Storage;57;403
Ultra;Ultra Door Pull Handle;Consumer;Furniture;Furnishings;58;128
Xerox;Xerox 195;Consumer;Office Supplies;Paper;59;119
Alliance;Alliance Big Bands Rubber Bands, 12/Pack;Consumer;Office Supplies;Fasteners;60;61
Eldon;Eldon Image Series Black Desk Accessories;Home Office;Furniture;Furnishings;61;32
GE;GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack;Home Office;Furniture;Furnishings;62;253
REDIFORM;"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages";Home Office;Office Supplies;Paper;63;117
Eureka;"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream";Home Office;Office Supplies;Paper;64;220
SAFCO;SAFCO Commercial Wire Shelving, 72h;Home Office;Office Supplies;Storage;65;194
Jabra;Jabra SPEAK 410;Home Office;Technology;Phones;66;66
Other;Macally Suction Cup Mount;Home Office;Technology;Phones;67;364
SAFCO;Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray;Corporate;Furniture;Bookcases;68;52
Wilson Jones;Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders;Corporate;Office Supplies;Binders;69;306
Balt;Balt Split Level Computer Training Table;Consumer;Furniture;Tables;70;432
Dixon;Dixon Ticonderoga Core-Lock Colored Pencils;Consumer;Office Supplies;Art;71;305
Other;Recycled Steel Personal File for Hanging File Folders;Consumer;Office Supplies;Storage;72;356
Pressboard;"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue";Consumer;Office Supplies;Binders;73;328
Xerox;Xerox 1972;Consumer;Office Supplies;Paper;74;425
Space Solutions;Space Solutions HD Industrial Steel Shelving.;Consumer;Office Supplies;Storage;75;83
