order_id;manufactory;product_name;segment;category;subcategory;product_id;product_available
US-2020-103800;Message Book;"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book";Consumer;Office Supplies;Paper;0;196
US-2020-112326;GBC;GBC Standard Plastic Binding Systems Combs;Home Office;Office Supplies;Binders;1;2
US-2020-112326;Avery;Avery 508;Home Office;Office Supplies;Labels;2;204
US-2020-112326;SAFCO;SAFCO Boltless Steel Shelving;Home Office;Office Supplies;Storage;3;476
US-2020-141817;Avery;Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack;Consumer;Office Supplies;Art;4;129
US-2020-106054;Dixon;Dixon Prang Watercolor Pencils, 10-Color Set with Brush;Corporate;Office Supplies;Art;5;361
US-2020-130813;Xerox;Xerox 225;Consumer;Office Supplies;Paper;6;237
US-2020-167199;Global;Global Deluxe High-Back Manager's Chair;Home Office;Furniture;Chairs;7;468
US-2020-167199;Rogers;Rogers Handheld Barrel Pencil Sharpener;Home Office;Office Supplies;Art;8;444
US-2020-167199;Ibico;Ibico Hi-Tech Manual Binding System;Home Office;Office Supplies;Binders;9;465
US-2020-167199;Alliance;Alliance Super-Size Bands, Assorted Sizes;Home Office;Office Supplies;Fasteners;10;39
US-2020-167199;Southworth;Southworth 25% Cotton Granite Paper & Envelopes;Home Office;Office Supplies;Paper;11;350
US-2020-167199;Other;Wireless Extenders zBoost YX545 SOHO Signal Booster;Home Office;Technology;Phones;12;418
US-2020-167199;GE;GE 30524EE4;Home Office;Technology;Phones;13;467
US-2020-105417;Howard Miller;"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock";Consumer;Furniture;Furnishings;14;381
US-2020-105417;Acco;"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""";Consumer;Office Supplies;Binders;15;463
US-2020-135405;Newell;Newell 312;Consumer;Office Supplies;Art;16;406
US-2020-135405;Memorex;Memorex Micro Travel Drive 8 GB;Consumer;Technology;Accessories;17;458
US-2020-149020;Howard Miller;"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock";Corporate;Furniture;Furnishings;18;499
US-2020-149020;Avery;Avery 482;Corporate;Office Supplies;Labels;19;497
US-2020-130092;DAX;DAX Value U-Channel Document Frames, Easel Back;Consumer;Furniture;Furnishings;20;236
US-2020-109232;Global;Global Highback Leather Tilter in Burgundy;Consumer;Furniture;Chairs;21;77
US-2020-118192;Avery;Avery Metallic Poly Binders;Consumer;Office Supplies;Binders;22;219
US-2020-118192;Xerox;Xerox 1923;Consumer;Office Supplies;Paper;23;497
US-2020-157147;O'Sullivan;O'Sullivan Elevations Bookcase, Cherry Finish;Consumer;Furniture;Bookcases;24;204
US-2020-157147;Other;4009 Highlighters by Sanford;Consumer;Office Supplies;Art;25;238
US-2020-157147;Tennsco;Tennsco 6- and 18-Compartment Lockers;Consumer;Office Supplies;Storage;26;385
US-2020-162775;3-ring staple pack;3-ring staple pack;Corporate;Office Supplies;Binders;27;19
US-2020-162775;Other;Brown Kraft Recycled Envelopes;Corporate;Office Supplies;Envelopes;28;260
US-2020-162775;Staple envelope;Staple envelope;Corporate;Office Supplies;Envelopes;29;308
US-2020-162775;Fellowes;Fellowes Stor/Drawer Steel Plus Storage Drawers;Corporate;Office Supplies;Storage;30;167
US-2020-162775;Plantronics;Plantronics S12 Corded Telephone Headset System;Corporate;Technology;Accessories;31;189
US-2020-149524;Sauder;Sauder Cornerstone Collection Library;Corporate;Furniture;Bookcases;32;193
US-2020-103366;Logitech;Logitech 910-002974 M325 Wireless Mouse for Web Scrolling;Consumer;Technology;Accessories;33;10
US-2020-115791;DAX;DAX Black Cherry Wood-Tone Poster Frame;Consumer;Furniture;Furnishings;34;24
US-2020-115791;GBC;GBC Linen Binding Covers;Consumer;Office Supplies;Binders;35;231
US-2020-115791;Other;Round Specialty Laser Printer Labels;Consumer;Office Supplies;Labels;36;20
US-2020-115791;AT&T;AT&T 841000 Phone;Consumer;Technology;Phones;37;303
US-2020-123477;Fellowes;Fellowes Mighty 8 Compact Surge Protector;Corporate;Office Supplies;Appliances;38;251
US-2020-146591;O'Sullivan;O'Sullivan 4-Shelf Bookcase in Odessa Pine;Consumer;Furniture;Bookcases;39;222
US-2020-146591;GBC;GBC Standard Recycled Report Covers, Clear Plastic Sheets;Consumer;Office Supplies;Binders;40;396
US-2020-146591;Tyvek;Tyvek  Top-Opening Peel & Seel Envelopes, Plain White;Consumer;Office Supplies;Envelopes;41;71
US-2020-146591;TOPS;TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page;Consumer;Office Supplies;Paper;42;349
US-2020-147627;Hon;Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms;Consumer;Furniture;Chairs;43;180
US-2020-147627;Eldon;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;Consumer;Furniture;Furnishings;44;15
US-2020-147627;Newell;Newell 351;Consumer;Office Supplies;Art;45;403
